subject,idna_subject,expiration_date,epoch
2xbinance.com,2xbinance.com,05-feb-2022,1644019200.0
1001soleils.com,1001soleils.com,06-oct-2021,1633478400.0
000webhostapp.com,000webhostapp.com,11-may-2022,1652227200.0
00221.info,00221.info,25-apr-2022,1650844800.0
0204sex.com,0204sex.com,01-mar-2022,1646092800.0
0daypatch.info,0daypatch.info,18-jan-2022,1642464000.0
0rder-atlas.com,0rder-atlas.com,21-apr-2022,1650499200.0
100pushup.com,100pushup.com,12-aug-2021,1628726400.0
120babaes.com,120babaes.com,19-may-2022,1652918400.0
123moviesfreehd.info,123moviesfreehd.info,02-jun-2022,1654128000.0
123unlock.com,123unlock.com,30-sep-2021,1632960000.0
12js.org,12js.org,17-jul-2021,1626480000.0
12licai.com,12licai.com,27-may-2022,1653609600.0
12rasi.com,12rasi.com,07-nov-2021,1636243200.0
1377x.org,1377x.org,18-jan-2022,1642464000.0
1400europe.com,1400europe.com,10-may-2022,1652140800.0
152gospel.com,152gospel.com,19-may-2022,1652918400.0
168-ora.info,168-ora.info,10-dec-2021,1639094400.0
16js.org,16js.org,17-jul-2021,1626480000.0
16kingmvi.info,16kingmvi.info,16-dec-2021,1639612800.0
16lib.org,16lib.org,17-jul-2021,1626480000.0
177piczz.info,177piczz.info,19-aug-2021,1629331200.0
1881no.com,1881no.com,19-may-2022,1652918400.0
